Title	Date	Lab	Plate	date_lab_plate	background_mean	background_SD
2023-04-25 plate_1	2023-04-25	Demengeot	plate_1	2023-04-25_Demengeot_plate_1	2.041625	0.09098027651247116
2023-04-25 plate_2	2023-04-25	Demengeot	plate_2	2023-04-25_Demengeot_plate_2	1.909	0.060832322235563396
2023-04-25 plate_3	2023-04-25	Demengeot	plate_3	2023-04-25_Demengeot_plate_3	2.0445	0.06762712896041483
2023-04-25 plate_4	2023-04-25	Demengeot	plate_4	2023-04-25_Demengeot_plate_4	2.203625	0.07753697274756825
2023-04-29 plate_1	2023-04-29	Demengeot	plate_1	2023-04-29_Demengeot_plate_1	2.178875	0.06415258039571414
2023-04-29 plate_2	2023-04-29	Demengeot	plate_2	2023-04-29_Demengeot_plate_2	2.355375	0.1328908655358115
2023-04-29 plate_3	2023-04-29	Demengeot	plate_3	2023-04-29_Demengeot_plate_3	1.407875	0.06321717103988214
2023-04-29 plate_4	2023-04-29	Demengeot	plate_4	2023-04-29_Demengeot_plate_4	1.310875	0.08049389950265089
2023-04-29 plate_5	2023-04-29	Demengeot	plate_5	2023-04-29_Demengeot_plate_5	1.855875	0.10474382013819651
2023-04-29 plate_6	2023-04-29	Demengeot	plate_6	2023-04-29_Demengeot_plate_6	2.441375	0.09464963587583719
2023-04-29 plate_7	2023-04-29	Demengeot	plate_7	2023-04-29_Demengeot_plate_7	1.42775	0.0998953023348517
2023-05-03 plate_1	2023-05-03	Demengeot	plate_1	2023-05-03_Demengeot_plate_1	2.201875	0.11151737532779364
2023-05-03 plate_2	2023-05-03	Demengeot	plate_2	2023-05-03_Demengeot_plate_2	1.70275	0.09675263008606755
2023-05-03 plate_3	2023-05-03	Demengeot	plate_3	2023-05-03_Demengeot_plate_3	1.8075	0.035022441784824616
2023-05-03 plate_4	2023-05-03	Demengeot	plate_4	2023-05-03_Demengeot_plate_4	2.151875	0.13157554864031537
2023-05-03 plate_5	2023-05-03	Demengeot	plate_5	2023-05-03_Demengeot_plate_5	1.807125	0.09482832232137038
2023-05-16 plate_1	2023-05-16	Demengeot	plate_1	2023-05-16_Demengeot_plate_1	2.5975	0.12644931226158795
2023-05-16 plate_2	2023-05-16	Demengeot	plate_2	2023-05-16_Demengeot_plate_2	1.5939999999999999	0.07180529228406499
2023-05-16 plate_3	2023-05-16	Demengeot	plate_3	2023-05-16_Demengeot_plate_3	2.161625	0.07439073963106653
2023-05-16 plate_4	2023-05-16	Demengeot	plate_4	2023-05-16_Demengeot_plate_4	1.97175	0.09017720649603514
2023-05-16 plate_5	2023-05-16	Demengeot	plate_5	2023-05-16_Demengeot_plate_5	1.619625	0.05209589372356658
2023-05-16 plate_6	2023-05-16	Demengeot	plate_6	2023-05-16_Demengeot_plate_6	2.251625	0.08986805804702169
2023-05-21 plate_1	2023-05-21	Demengeot	plate_1	2023-05-21_Demengeot_plate_1	1.7257500000000001	0.06496757432970474
2023-05-21 plate_2	2023-05-21	Demengeot	plate_2	2023-05-21_Demengeot_plate_2	3.075375	0.1469284932981249
2023-05-21 plate_3	2023-05-21	Demengeot	plate_3	2023-05-21_Demengeot_plate_3	1.836625	0.08194760957029627
2023-05-21 plate_4	2023-05-21	Demengeot	plate_4	2023-05-21_Demengeot_plate_4	1.868125	0.053150561077538405
2023-05-22 plate_1	2023-05-22	Demengeot	plate_1	2023-05-22_Demengeot_plate_1	2.040875	0.11248801523463992
2023-05-22 plate_2	2023-05-22	Demengeot	plate_2	2023-05-22_Demengeot_plate_2	1.236	0.07282856582413245
2023-05-22 plate_3	2023-05-22	Demengeot	plate_3	2023-05-22_Demengeot_plate_3	1.2313749999999999	0.04901293561033512
2023-05-22 plate_4	2023-05-22	Demengeot	plate_4	2023-05-22_Demengeot_plate_4	2.464125	0.12278719977494165
2023-05-23 plate_1	2023-05-23	Demengeot	plate_1	2023-05-23_Demengeot_plate_1	2.28725	0.0727907961214878
2023-05-23 plate_2	2023-05-23	Demengeot	plate_2	2023-05-23_Demengeot_plate_2	1.805375	0.11583724727885611
2023-05-23 plate_3	2023-05-23	Demengeot	plate_3	2023-05-23_Demengeot_plate_3	1.0345	0.03158209257520108
2023-05-23 plate_4	2023-05-23	Demengeot	plate_4	2023-05-23_Demengeot_plate_4	2.1965	0.15058362650510368
2023-05-24 plate_1	2023-05-24	Demengeot	plate_1	2023-05-24_Demengeot_plate_1	1.332	0.026414281851193464
2023-05-24 plate_2	2023-05-24	Demengeot	plate_2	2023-05-24_Demengeot_plate_2	2.5105	0.10503740830226696
2023-05-24 plate_3	2023-05-24	Demengeot	plate_3	2023-05-24_Demengeot_plate_3	3.1811249999999998	0.09241125086110603
2023-05-24 plate_4	2023-05-24	Demengeot	plate_4	2023-05-24_Demengeot_plate_4	1.98225	0.15943359567096083
2023-05-24 plate_5	2023-05-24	Demengeot	plate_5	2023-05-24_Demengeot_plate_5	2.034	0.09333197277919901
2023-05-24 plate_6	2023-05-24	Demengeot	plate_6	2023-05-24_Demengeot_plate_6	1.97625	0.08799634732679049
2023-05-24 plate_7	2023-05-24	Demengeot	plate_7	2023-05-24_Demengeot_plate_7	2.128	0.11919371987291467
2023-05-24 plate_8	2023-05-24	Demengeot	plate_8	2023-05-24_Demengeot_plate_8	2.239375	0.15792488042465905
2023-06-07 plate_1	2023-06-07	Demengeot	plate_1	2023-06-07_Demengeot_plate_1	1.936375	0.10651349679735429
2023-06-07 plate_2	2023-06-07	Demengeot	plate_2	2023-06-07_Demengeot_plate_2	2.13975	0.09246273380588058
2023-06-07 plate_3	2023-06-07	Demengeot	plate_3	2023-06-07_Demengeot_plate_3	2.182875	0.08321991090735782
2023-06-07 plate_4	2023-06-07	Demengeot	plate_4	2023-06-07_Demengeot_plate_4	1.97075	0.10432606851323678
2023-06-07 plate_5	2023-06-07	Demengeot	plate_5	2023-06-07_Demengeot_plate_5	2.121125	0.08321819426749685
2023-06-07 plate_6	2023-06-07	Demengeot	plate_6	2023-06-07_Demengeot_plate_6	2.334625	0.12702636115614518
2023-06-10 plate_1	2023-06-10	Demengeot	plate_1	2023-06-10_Demengeot_plate_1	2.019875	0.0920441470165268
2023-06-10 plate_2	2023-06-10	Demengeot	plate_2	2023-06-10_Demengeot_plate_2	1.8976250000000001	0.09423668909415579
2023-06-10 plate_3	2023-06-10	Demengeot	plate_3	2023-06-10_Demengeot_plate_3	1.86025	0.14746500795588274
2023-06-10 plate_4	2023-06-10	Demengeot	plate_4	2023-06-10_Demengeot_plate_4	2.724625	0.12443579813358717
2023-06-11 plate_1	2023-06-11	Demengeot	plate_1	2023-06-11_Demengeot_plate_1	2.552	0.12475919662636961
2023-06-11 plate_2	2023-06-11	Demengeot	plate_2	2023-06-11_Demengeot_plate_2	2.198	0.12395736594260374
2023-06-11 plate_3	2023-06-11	Demengeot	plate_3	2023-06-11_Demengeot_plate_3	1.9808750000000002	0.09820159658288949
2023-06-11 plate_4	2023-06-11	Demengeot	plate_4	2023-06-11_Demengeot_plate_4	0.9835	0.044638228331458536
2023-06-11 plate_5	2023-06-11	Demengeot	plate_5	2023-06-11_Demengeot_plate_5	1.6300000000000001	0.09647353449077554
2023-06-11 plate_6	2023-06-11	Demengeot	plate_6	2023-06-11_Demengeot_plate_6	1.9915	0.07416968961201649
2023-06-11 plate_7	2023-06-11	Demengeot	plate_7	2023-06-11_Demengeot_plate_7	2.475625	0.12454137293055902
2023-06-11 plate_8	2023-06-11	Demengeot	plate_8	2023-06-11_Demengeot_plate_8	2.5012499999999998	0.15152533970075296
2023-06-18 plate_1	2023-06-18	Demengeot	plate_1	2023-06-18_Demengeot_plate_1	1.62875	0.07308263424762021
2023-06-18 plate_2	2023-06-18	Demengeot	plate_2	2023-06-18_Demengeot_plate_2	2.590375	0.13021513791743697
2023-06-18 plate_3	2023-06-18	Demengeot	plate_3	2023-06-18_Demengeot_plate_3	1.343625	0.085511799519966
2023-06-18 plate_4	2023-06-18	Demengeot	plate_4	2023-06-18_Demengeot_plate_4	2.3495	0.1268643820328284
2023-06-18 plate_5	2023-06-18	Demengeot	plate_5	2023-06-18_Demengeot_plate_5	2.044625	0.09149853628805835
2023-06-18 plate_6	2023-06-18	Demengeot	plate_6	2023-06-18_Demengeot_plate_6	1.19	0.034247001954290056
2023-06-18 plate_7	2023-06-18	Demengeot	plate_7	2023-06-18_Demengeot_plate_7	1.88975	0.07324859823134597
2023-06-18 plate_8	2023-06-18	Demengeot	plate_8	2023-06-18_Demengeot_plate_8	1.307	0.056497787567302137
2023-06-20 plate_1	2023-06-20	Demengeot	plate_1	2023-06-20_Demengeot_plate_1	1.691	0.07687838262012094
2023-06-20 plate_2	2023-06-20	Demengeot	plate_2	2023-06-20_Demengeot_plate_2	1.792375	0.1396955234991955
2023-06-20 plate_3	2023-06-20	Demengeot	plate_3	2023-06-20_Demengeot_plate_3	1.8716249999999999	0.09949147486809391
2023-06-20 plate_4	2023-06-20	Demengeot	plate_4	2023-06-20_Demengeot_plate_4	2.0335	0.09483218260244172
2023-06-20 plate_5	2023-06-20	Demengeot	plate_5	2023-06-20_Demengeot_plate_5	1.903	0.08233034503927285
2023-06-24 plate_1	2023-06-24	Demengeot	plate_1	2023-06-24_Demengeot_plate_1	1.961875	0.06524993158179226
2023-06-24 plate_2	2023-06-24	Demengeot	plate_2	2023-06-24_Demengeot_plate_2	2.0147500000000003	0.07273385927966627
2023-06-24 plate_3	2023-06-24	Demengeot	plate_3	2023-06-24_Demengeot_plate_3	2.416625	0.08878374609932035
2023-06-24 plate_4	2023-06-24	Demengeot	plate_4	2023-06-24_Demengeot_plate_4	1.739875	0.09709411855072814
2023-06-24 plate_5	2023-06-24	Demengeot	plate_5	2023-06-24_Demengeot_plate_5	1.95675	0.08811964269430188
2023-06-25 plate_1	2023-06-25	Demengeot	plate_1	2023-06-25_Demengeot_plate_1	1.9929999999999999	0.08270083779157608
2023-06-25 plate_2	2023-06-25	Demengeot	plate_2	2023-06-25_Demengeot_plate_2	2.093125	0.1450462364706017
2023-06-25 plate_3	2023-06-25	Demengeot	plate_3	2023-06-25_Demengeot_plate_3	2.8255	0.1833427703198886
2023-06-25 plate_4	2023-06-25	Demengeot	plate_4	2023-06-25_Demengeot_plate_4	1.394125	0.08727205001766435
2023-06-25 plate_5	2023-06-25	Demengeot	plate_5	2023-06-25_Demengeot_plate_5	1.55625	0.06484872506732221
2023-06-25 plate_6	2023-06-25	Demengeot	plate_6	2023-06-25_Demengeot_plate_6	1.3211249999999999	0.07099987424536147
2023-06-25 plate_7	2023-06-25	Demengeot	plate_7	2023-06-25_Demengeot_plate_7	2.1245000000000003	0.06772634009642879
2023-06-25 plate_8	2023-06-25	Demengeot	plate_8	2023-06-25_Demengeot_plate_8	2.9191249999999997	0.15342046566776646
2023-06-27 plate_1	2023-06-27	Demengeot	plate_1	2023-06-27_Demengeot_plate_1	1.291125	0.04705752558609213
2023-06-27 plate_2	2023-06-27	Demengeot	plate_2	2023-06-27_Demengeot_plate_2	1.8739999999999999	0.07642550060586543
2023-06-27 plate_3	2023-06-27	Demengeot	plate_3	2023-06-27_Demengeot_plate_3	1.835875	0.03857622324696914
2023-06-27 plate_4	2023-06-27	Demengeot	plate_4	2023-06-27_Demengeot_plate_4	2.051375	0.10949747224740591
2023-06-27 plate_5	2023-06-27	Demengeot	plate_5	2023-06-27_Demengeot_plate_5	1.253875	0.05138214670486238
2023-06-27 plate_6	2023-06-27	Demengeot	plate_6	2023-06-27_Demengeot_plate_6	2.038	0.07640493626536361
2023-06-27 plate_7	2023-06-27	Demengeot	plate_7	2023-06-27_Demengeot_plate_7	2.76475	0.21940683021013074
2023-07-04 plate_1	2023-07-04	Demengeot	plate_1	2023-07-04_Demengeot_plate_1	2.4175	0.10327771160461352
2023-07-04 plate_2	2023-07-04	Demengeot	plate_2	2023-07-04_Demengeot_plate_2	2.172875	0.14994993212021523
2023-07-04 plate_3	2023-07-04	Demengeot	plate_3	2023-07-04_Demengeot_plate_3	2.002625	0.09738280502370901
2023-07-04 plate_4	2023-07-04	Demengeot	plate_4	2023-07-04_Demengeot_plate_4	2.3588750000000003	0.09835858231128443
2023-07-04 plate_5	2023-07-04	Demengeot	plate_5	2023-07-04_Demengeot_plate_5	1.269625	0.0900966742687304
2023-07-05 plate_1	2023-07-05	Demengeot	plate_1	2023-07-05_Demengeot_plate_1	1.619375	0.11316478187644272
2023-07-05 plate_2	2023-07-05	Demengeot	plate_2	2023-07-05_Demengeot_plate_2	1.913875	0.1177241782424373
2023-07-05 plate_3	2023-07-05	Demengeot	plate_3	2023-07-05_Demengeot_plate_3	1.92975	0.066217714505151265
2023-07-05 plate_4	2023-07-05	Demengeot	plate_4	2023-07-05_Demengeot_plate_4	2.209875	0.12236647241556228
2023-07-05 plate_5	2023-07-05	Demengeot	plate_5	2023-07-05_Demengeot_plate_5	2.087125	0.104439233870364
2023-07-25 plate_1	2023-07-25	Demengeot	plate_1	2023-07-25_Demengeot_plate_1	1.9617499999999999	0.06081999201390464
2023-07-25 plate_2	2023-07-25	Demengeot	plate_2	2023-07-25_Demengeot_plate_2	2.403625	0.08486617616661454
2023-07-25 plate_3	2023-07-25	Demengeot	plate_3	2023-07-25_Demengeot_plate_3	2.133	0.11935660853090628
2023-07-25 plate_4	2023-07-25	Demengeot	plate_4	2023-07-25_Demengeot_plate_4	2.04925	0.10475924780180501
2023-07-25 plate_5	2023-07-25	Demengeot	plate_5	2023-07-25_Demengeot_plate_5	1.276125	0.11169657559656879
2023-07-25 plate_6	2023-07-25	Demengeot	plate_6	2023-07-25_Demengeot_plate_6	1.8565	0.14837019338706237
2023-07-25 plate_7	2023-07-25	Demengeot	plate_7	2023-07-25_Demengeot_plate_7	2.113625	0.14471937129690499
2023-08-01 plate_1	2023-08-01	Demengeot	plate_1	2023-08-01_Demengeot_plate_1	2.230125	0.10963111849678964
2023-08-01 plate_2	2023-08-01	Demengeot	plate_2	2023-08-01_Demengeot_plate_2	1.829375	0.058622125272192016
2023-08-01 plate_3	2023-08-01	Demengeot	plate_3	2023-08-01_Demengeot_plate_3	1.945125	0.15879316061198245
2023-08-01 plate_4	2023-08-01	Demengeot	plate_4	2023-08-01_Demengeot_plate_4	2.50725	0.13990277236097112
2023-08-01 plate_5	2023-08-01	Demengeot	plate_5	2023-08-01_Demengeot_plate_5	1.774	0.07815552260899875
2023-08-01 plate_6	2023-08-01	Demengeot	plate_6	2023-08-01_Demengeot_plate_6	1.767875	0.09997919426417817
2023-08-01 plate_7	2023-08-01	Demengeot	plate_7	2023-08-01_Demengeot_plate_7	2.065875	0.10982120209035874
2023-08-01 plate_8	2023-08-01	Demengeot	plate_8	2023-08-01_Demengeot_plate_8	1.800375	0.05307928705517543
2023-08-20 plate_1	2023-08-20	Demengeot	plate_1	2023-08-20_Demengeot_plate_1	1.58625	0.10726968683782809
